place_name,latitude,longitude,GEOID,region_tag
نجد,25,44.5,103644,
نجد,25,44.5,103644,
جوف,29.88333,39.98333,109468,BORDER
خيبر,,,,
عنيزة,26.08427,43.99355,8394316,QASSIM
جبل شمر,27.49057,41.17786,105532,SHAMMAR
نجد,25,44.5,103644,
جبل شمر,27.49057,41.17786,105532,SHAMMAR
حائل,27.52188,41.69073,106281,SHAMMAR
قف,,,,SHAMMAR
موقف,27.38398,41.17635,104201,SHAMMAR
جبه,28.013,40.94545,105286,SHAMMAR
بقعاً,27.90647,42.38898,107588,SHAMMAR
سميراء,26.49418,42.12494,395153,SHAMMAR
الكهفة,27.08075,43.01969,109399,SHAMMAR
بغداد,33.29761532,44.3915976,98180,
القصيم,25.9450325,43.22051812,108933,QASSIM
نجد,25,44.5,103644,
القصيم,25.9450325,43.22051812,108933,QASSIM
عنيزة,26.08427,43.99355,8394316,QASSIM
بريدة,26.32599,43.97497,107304,QASSIM
عنيزة,26.08427,43.99355,8394316,QASSIM
عنيزة,26.08427,43.99355,8394316,QASSIM
بريدة,26.32599,43.97497,107304,QASSIM
القصيم,25.9450325,43.22051812,108933,QASSIM
عنيزة,26.08427,43.99355,8394316,QASSIM
القصيم,25.9450325,43.22051812,108933,QASSIM
الاسياح,26.95,44.16667,10972299,QASSIM
عين ابن فهيد,26.77157,44.2071,107840,QASSIM
حنيظل,26.98848,44.09884,105712,QASSIM
أبو الدود,27.02099,44.07662,110769,QASSIM
قصباء,26.88745,43.63626,103093,QASSIM
بريدة,26.32599,43.97497,107304,QASSIM
الشتة,26.38037,43.85888,101808,QASSIM
العيون,26.49829,43.6312,108782,QASSIM
البصة,,,,QASSIM
القرعاء,26.40594,43.75429,108964,QASSIM
إرمه,,,,QASSIM
عنيزة,26.08427,43.99355,8394316,QASSIM
عنيزة,26.08427,43.99355,8394316,QASSIM
بريدة,26.32599,43.97497,107304,QASSIM
الشيحيات,26.25643,43.61057,108221,QASSIM
الهلالية,26.12776,43.66938,109599,QASSIM
البكيرية,26.13915,43.65782,109878,QASSIM
الخبراء,26.07179,43.62497,109391,QASSIM
الرس,25.86944,43.4973,108435,QASSIM
صبيح,26.01056,43.01333,397405,QASSIM
لنبهانية,25.86075,43.06468,103688,QASSIM
المذنب,25.86012,44.22228,109131,QASSIM
القصيم,25.9450325,43.22051812,108933,QASSIM
سدير,25.59672,45.62744,109616,SUDAYR
الزلفي,26.53333,44.7,10972322,SUDAYR
نجد,25,44.5,103644,
وشي,25.80148,45.26516,396349,SUDAYR
الجوى,25.81776,45.40413,105213,SUDAYR
جلاجل,25.67865,45.45141,105471,SUDAYR
النوم,,,,SUDAYR
الداخلة,25.61667,45.66667,107133,SUDAYR
الروضة,26.27953,44.81379,11829994,SUDAYR
الحصون,25.59714,45.6062,109545,SUDAYR
الحوطة,25.59672,45.62744,109616,SUDAYR
الجنوبية,25.58361,45.61833,109486,SUDAYR
العطار,25.56789,45.63906,110004,SUDAYR
الجنبفي,25.57537,45.64136,397070,SUDAYR
العودة,25.55439,45.68652,109995,SUDAYR
تمير,25.70347,45.86835,396550,SUDAYR
عشيرة,25.59949,45.79687,100661,SUDAYR
لحطامة,25.61823,45.69299,397080,SUDAYR
سدير,25.59672,45.62744,109616,SUDAYR
الألفي,26.53333,44.7,10972322,SUDAYR
الزلفي,26.53333,44.7,10972322,SUDAYR
المجمعة,25.91097,45.35665,109194,SUDAYR
الرشم,25.08333,45.5,108760,RASHM
شقراء,25.24019,45.25104,102170,RASHM
شيقر,25.34093,45.17623,100664,RASHM
القرائن,25.2189,45.26991,108954,RASHM
الفرعة,25.33011,45.19815,106752,RASHM
ثرمد,25.11876,45.4914,101434,RASHM
مرات,25.07064,45.45775,104376,RASHM
تيثية,25.16685,45.39698,100635,RASHM
الجريقة,25.52932,45.25644,109410,RASHM
الحريق,25.44702,45.40105,109551,RASHM
القصب,25.29439,45.52484,108940,RASHM
عسبلي,25.10614,44.68109,100686,RASHM
البير,25.28761,45.95464,109892,RASHM
الدوادي,24.50772,44.39237,110325,RASHM
الشعرة,24.26554,44.18449,108250,RASHM
القويعية,24.06506,45.28438,108868,RASHM
الرويضة,25.19992,45.8572,108371,RASHM
الشمس,24.87061,45.65022,397524,RASHM
الخانوقة,24.39333,43.68278,105056,RASHM
الحيد,25.45707,45.62873,397289,RASHM
الرشم,25.08333,45.5,108760,RASHM
المحمل,25.16667,46,109205,MAHMAL
ثادق,25.29678,45.86979,101484,MAHMAL
البير,25.28761,45.95464,109892,MAHMAL
الصغرة,25.32456,46.02599,397612,MAHMAL
الرغبة,25.1693,45.80046,108454,MAHMAL
البيرة,24.91545,45.86545,109928,MAHMAL
دقلة,25.32443,46.16862,397626,MAHMAL
القرينية,25.13661,46.16151,108946,MAHMAL
ملهم,25.1427,46.26729,104476,MAHMAL
صلبوخ,25.07752,46.34453,102496,MAHMAL
الصلبوخ,25.07752,46.34453,102496,RASHM
العارض,24.94297,46.57826,12103436,ARIDH
نجد,25,44.5,103644,
الدرعية,24.75187,46.53874,110312,ARIDH
الرياض,24.68773,46.72185,108410,ARIDH
العارض,24.94297,46.57826,12103436,ARIDH
الرياض,24.68773,46.72185,108410,ARIDH
العارض,24.94297,46.57826,12103436,ARIDH
حريملة,25.12578,46.12864,105703,ARIDH
سدوس,24.99374,46.20788,101816,ARIDH
خرماً,,,,ARIDH
العمارية,24.80333,46.42268,110073,ARIDH
أبو كباش,24.79422,46.42883,415862,ARIDH
الجميلة,24.76954159,46.67076137,24.76954159,ARIDH
العينية,24.9074,46.3846,108787,ARIDH
الدرعية,24.75187,46.53874,110312,ARIDH
عرجة,24.6935,46.56072,105586,ARIDH
الرياض,24.68773,46.72185,108410,ARIDH
منفوحة,24.59918,46.7278,104433,ARIDH
العارض,24.94297,46.57826,12103436,ARIDH
الخرج,24.15541,47.33457,109353,KHARJ
نجد,25,44.5,103644,
نجد,25,44.5,103644,
الخرج,24.15541,47.33457,109353,KHARJ
الدليم,23.99104,47.16181,110314,KHARJ
السلمية,24.20154,47.28872,108120,KHARJ
اليمامة,24.18211,47.32775,108738,KHARJ
زميمة,23.95754,47.16322,100277,KHARJ
نعجان,24.07746,47.1659,103645,KHARJ
السيح,,,,KHARJ
الفرع,23.49694,46.81416,413252,FAR'A
نجد,25,44.5,103644,
الفرع,23.49694,46.81416,413252,FAR'A
الحوطة,23.47326,46.77124,109618,FAR'A
الحريق,23.63546,46.50638,109653,FAR'A
نعام,23.6199,46.51795,414744,FAR'A
الحلوة,23.45087,46.80629,109563,FAR'A
الافلاج,22.25,46.825,110115,AFLAJ
البلي,,,,
البدع,22.02148,46.56745,109960,AFLAJ
الأحمر,22.44041,46.19025,109694,AFLAJ
الهدار,21.98354,45.95644,109731,AFLAJ
السليل,20.46067,45.57792,108048,SULAYL
اللدام,20.4686,44.78716,109259,SULAYL
الحنابح,20.46667,44.9,107437,SULAYL
نجد,25,44.5,103644,
نجد,25,44.5,103644,
جوف,29.88333,39.98333,109468,BORDER
نجد,25,44.5,103644,
القصيم,25.9450325,43.22051812,108933,QASSIM
نجد,25,44.5,103644,
نجد,25,44.5,103644,
نجد,25,44.5,103644,
عسير,19.26990483,42.99551117,108179,BORDER
اليمن,15.90146141,47.59909891,69543,OUTSIDE
اليمن,15.90146141,47.59909891,69543,OUTSIDE
الأحساء,25.27122,49.68635,110215,BORDER
القطيف,26.56542,50.0089,108927,OUTSIDE
دارين,26.54992,50.0768,107066,BORDER
لقطيف,26.56542,50.0089,108927,OUTSIDE
الأحساء,25.27122,49.68635,110215,BORDER
الهفوف,25.36467,49.58764,109571,OUTSIDE
المبرز,25.40768,49.59028,109101,OUTSIDE
الهفوف,25.36467,49.58764,109571,OUTSIDE
الأحساء,25.27122,49.68635,110215,BORDER
نجد,25,44.5,103644,
الأحساء,25.27122,49.68635,110215,BORDER
القطيف,26.56542,50.0089,108927,OUTSIDE
الأحساء,25.27122,49.68635,110215,BORDER
الأحساء,25.27122,49.68635,110215,BORDER
الأحساء,25.27122,49.68635,110215,BORDER
نجد,25,44.5,103644,
الأحساء,25.27122,49.68635,110215,BORDER
القطيف,26.56542,50.0089,108927,OUTSIDE
نجد,25,44.5,103644,
لقطيف,26.56542,50.0089,108927,OUTSIDE
العقير,25.64436,50.21453,108826,OUTSIDE
الأحساء,25.27122,49.68635,110215,BORDER
نجد,25,44.5,103644,
الأحساء,25.27122,49.68635,110215,BORDER
الأحساء,25.27122,49.68635,110215,BORDER
العقير,25.64436,50.21453,108826,OUTSIDE
قطر,25.30712791,51.19994657,289688,OUTSIDE
قطر,25.30712791,51.19994657,289688,OUTSIDE
البدع,25.29139,51.52362,11207761,OUTSIDE
نوبرط,,,,OUTSIDE
البحرين,26.05131104,50.5487711,290291,OUTSIDE
